customer_id,age,income,signup_date,plan_type,churn
4685fbe6-2779-4813-a5ff-9525d4c24d75,999,50985,2023-12-10 17:00,Pro,1
bede853a-956a-45b7-9294-e223312eafb3,53,24988,2023-01-13 16:00,Basic,1
e178dc37-536b-4b89-bac0-73c44844fb98,71,,2023-11-19 21:00,Pro,0
8f09daa6-b5b6-4bb5-af4a-013b6fb6a11f,18,89054,2023-09-17 01:00,Basic,0
06b11885-1db6-4e71-83ab-1aaf32024faf,38,59117,2023-02-18 17:00,Unknown,1
9808970f-20c1-4c87-9123-06bff4e7454e,62,51300,2023-11-22 02:00,Basic,1
dfd51649-a650-4a8d-8296-11f2bfcc51c5,61,99365,2023-04-03 07:00,Basic,0
f79b4dc7-1ebb-43b1-b5c5-fe5e514331ae,23,103762,2023-01-25 15:00,Enterprise,0
a15cfa08-f358-4fcc-83d0-e5fc959b60d0,66,54743,2023-08-04 03:00,Enterprise,1
df80ac82-4319-4497-aed7-bf3fd697164d,73,22708,2023-12-12 03:00,Enterprise,1
81460b66-3e2e-456f-93b6-0e3e4a0e1002,49,35803,2023-04-14 19:00,Pro,1
9434d533-0e6a-4b3b-8545-15f6d7082643,20,59961,2023-12-01 04:00,Pro,1
d4e17241-fbf5-44ac-bd22-a78518b2f82d,999,49517,2023-04-04 20:00,Basic,0
d2c6f446-b16b-4d08-abe9-7ac63ba3bbee,52,110125,2023-12-19 17:00,Basic,0
1ec945a0-5d9e-410a-81a7-40ead8b9b854,21,,2023-12-02 20:00,Enterprise,1
ae11046f-ee97-4c7f-9d6c-6ab6fdc8f74b,58,58549,2023-01-14 22:00,Enterprise,0
3c32e729-b77c-4f03-ad69-6959bb830a03,34,56918,2023-06-16 09:00,Basic,1
4029c0f0-4dae-459e-b6e2-21f5a1ff8053,75,23566,2023-02-27 23:00,Unknown,1
52df63d0-d6b4-4c04-ae63-ca75c9669f76,63,30948,2023-05-23 12:00,Pro,1
0fbfe591-14b1-421d-889a-a7a27ae6d823,54,60650,2023-09-01 08:00,Enterprise,0
b4374cf7-1aef-43c9-859a-e060727d6981,21,,2023-04-19 06:00,Basic,1
980d2dc8-1205-4222-8d0c-4425c11f6905,66,28171,2023-03-04 18:00,Enterprise,1
9f33c985-35d1-48c6-91b3-263b63690144,28,62611,2023-09-16 21:00,Basic,0
1934473e-6034-4ff1-ab3f-47c86e8516b8,28,61316,2023-08-03 13:00,Basic,0
5cbc1332-6f45-4f13-8d14-f76746da9b9a,58,50154,,Pro,0
90c51ac1-b377-470c-a913-8b650729e148,999,57785,2023-04-01 04:00,Basic,1
0a30b265-5ba9-44f1-8f73-335392ee231c,62,24304,2023-04-12 04:00,Basic,1
17c3405c-84fb-453b-aa05-41a30b7ef6ab,51,46525,2023-03-22 11:00,Pro,1
f4b22ae0-1d9e-4e80-a9b2-754bf6426114,64,52568,2023-02-28 04:00,Basic,1
35798fa0-ce11-41b3-9f20-fa00ab9db78d,43,49407,2023-03-16 11:00,Enterprise,0
20c3eb65-42b4-4393-9c85-f69f037a9d34,48,23886,2023-05-18 23:00,Enterprise,1
00804890-6149-4ebf-9558-8579bcd3a147,37,119419,2023-11-10 01:00,Pro,0
42665f11-fabd-429d-ae26-7a9c9e1cd1f0,71,34050,2023-04-07 00:00,Enterprise,1
d4214aa4-6b6a-4138-b084-4ad26306fed3,20,33560,2023-08-10 03:00,Pro,1
79976190-134e-4528-9f9b-efe4d5fe1085,45,69111,2023-05-25 04:00,,0
358c13f8-ef80-4d4f-b1d8-19a3900ad41d,20,62741,2023-06-22 14:00,Enterprise,0
958b76be-49c6-4da3-a564-1b693be58ab3,68,88326,2023-04-16 15:00,Pro,0
e267cd24-83a5-4ef4-b432-c0bc71c7153b,43,51433,,Enterprise,1
